,classify,feature,1-open,1-high,1-low,1-close,1-volume,1-adj close,2-open,2-high,2-low,2-close,2-volume,2-adj close,3-open,3-high,3-low,3-close,3-volume,3-adj close
79,-1,-0.40106114686178623,67.45,67.80,67.30,67.50,2764903,67.50,68.40,68.40,67.45,67.65,5548433,67.60,68.30,68.40,68.10,68.40,3849330,68.35
80,-1,0.2538609528679708,68.40,68.40,67.45,67.65,5548433,67.60,68.30,68.40,68.10,68.40,3849330,68.35,67.70,68.20,67.50,68.10,4156126,68.05
81,-1,-0.3727384922899091,68.30,68.40,68.10,68.40,3849330,68.35,67.70,68.20,67.50,68.10,4156126,68.05,67.75,67.95,67.50,67.50,5309448,67.50
82,1,-0.5251248017125151,67.70,68.20,67.50,68.10,4156126,68.05,67.75,67.95,67.50,67.50,5309448,67.50,67.05,67.60,67.00,67.50,6375175,67.45
83,1,-0.5099281278557011,67.75,67.95,67.50,67.50,5309448,67.50,67.05,67.60,67.00,67.50,6375175,67.45,67.95,68.00,67.30,67.50,8012978,67.50
84,1,0.19453140478821515,67.05,67.60,67.00,67.50,6375175,67.45,67.95,68.00,67.30,67.50,8012978,67.50,68.95,69.00,68.10,68.35,5002973,68.30
85,1,0.4908432536127092,67.95,68.00,67.30,67.50,8012978,67.50,68.95,69.00,68.10,68.35,5002973,68.30,68.95,69.05,68.75,68.95,3956132,68.95
86,-1,0.3877587128722248,68.95,69.00,68.10,68.35,5002973,68.30,68.95,69.05,68.75,68.95,3956132,68.95,68.25,68.80,68.25,68.70,3077528,68.65
87,-1,-0.966669766020544,68.95,69.05,68.75,68.95,3956132,68.95,68.25,68.80,68.25,68.70,3077528,68.65,68.35,68.70,68.15,68.30,7800458,68.25
88,1,-0.8235028148989165,68.25,68.80,68.25,68.70,3077528,68.65,68.35,68.70,68.15,68.30,7800458,68.25,67.80,68.45,67.80,68.35,5627537,68.35
89,1,0.6111340150648857,68.35,68.70,68.15,68.30,7800458,68.25,67.80,68.45,67.80,68.35,5627537,68.35,67.65,67.85,67.50,67.85,3129845,67.75
90,-1,0.02959671508224613,67.80,68.45,67.80,68.35,5627537,68.35,67.65,67.85,67.50,67.85,3129845,67.75,67.80,67.90,67.60,67.75,5506198,67.70
91,1,-0.7598608451576059,67.65,67.85,67.50,67.85,3129845,67.75,67.80,67.90,67.60,67.75,5506198,67.70,67.50,67.70,67.30,67.60,5515011,67.60
92,1,-0.2860116908255025,67.80,67.90,67.60,67.75,5506198,67.70,67.50,67.70,67.30,67.60,5515011,67.60,67.80,67.90,67.35,67.70,7081035,67.70
93,1,-0.47292639119499913,67.50,67.70,67.30,67.60,5515011,67.60,67.80,67.90,67.35,67.70,7081035,67.70,67.10,67.80,66.90,67.70,8115059,67.65
94,-1,-0.638755043519433,67.80,67.90,67.35,67.70,7081035,67.70,67.10,67.80,66.90,67.70,8115059,67.65,66.80,67.55,66.65,67.10,11640582,67.05
